"iso 3","country id","country","trade value export","trade value import","trade value delta","year"
"jpn","asjpn","Japan",45150409,92495007,-47344598,1999
"kaz","askaz","Kazakhstan",72520,126000,-53480,1999
"kgz","askgz","Kyrgyzstan",827350,173998,653352,1999
"kor","askor","South Korea",664898,27412366,-26747468,1999
"mys","asmys","Malaysia",638425,5362199,-4723774,1999
"phl","asphl","Philippines",36399,460796,-424397,1999
"prk","asprk","North Korea",2865,13943,-11078,1999
"sgp","assgp","Singapore",3438054,8894250,-5456196,1999
"tha","astha","Thailand",111161,5322878,-5211717,1999
"tur","astur","Turkey",9988,610908,-600920,1999
"twn","astwn","Chinese Taipei",2037960,15683518,-13645558,1999
"aut","euaut","Austria",16179601,5472643,10706958,1999
"bel","eubel","Belgium",3255245,10454864,-7199619,1999
"che","euche","Switzerland",261820,1882664,-1620844,1999
"cze","eucze","Czechia",85419,1411561,-1326142,1999
"deu","eudeu","Germany",4014691,30144487,-26129796,1999
"dnk","eudnk","Denmark",56600,128173,-71573,1999
"esp","euesp","Spain",522816,4409598,-3886782,1999
"est","euest","Estonia",5349828,5500366,-150538,1999
"fin","eufin","Finland",8697,2537027,-2528330,1999
"fra","eufra","France",74379110,25220366,49158744,1999
"gbr","eugbr","United Kingdom",17217605,20116989,-2899384,1999
"hun","euhun","Hungary",1000,2233823,-2232823,1999
"irl","euirl","Ireland",3675453,1235445,2440008,1999
"ita","euita","Italy",714996,10935956,-10220960,1999
"ltu","eultu","Lithuania",1468,260362,-258894,1999
"nld","eunld","Netherlands",1380041,13273387,-11893346,1999
"nor","eunor","Norway",14806856,418332,14388524,1999
"prt","euprt","Portugal",985,276637,-275652,1999
"rus","eurus","Russia",14252263,791027,13461236,1999
"svk","eusvk","Slovakia",50625,229760,-179135,1999
"swe","euswe","Sweden",23028,587165,-564137,1999
"ukr","euukr","Ukraine",12636,8556,4080,1999
"brb","nabrb","Barbados",77568,6048,71520,1999
"can","nacan","Canada",240083,5272401,-5032318,1999
"gtm","nagtm","Guatemala",12951,9824,3127,1999
"mex","namex","Mexico",54827,1241487,-1186660,1999
"slv","naslv","El Salvador",24085,33952,-9866.99999999999,1999
"usa","nausa","United States",39277057,102495385,-63218328,1999
"aus","ocaus","Australia",346820,306628,40192,1999
"nzl","ocnzl","New Zealand",15341,143626,-128285,1999
"arg","saarg","Argentina",226022,1134373,-908351,1999
"bra","sabra","Brazil",677,4579459,-4578782,1999
"chl","sachl","Chile",57016,53431,3585.00000000001,1999
"col","sacol","Colombia",678,142613,-141935,1999
"ecu","saecu","Ecuador",2679,2049,630,1999
"civ","afciv","Cote d'Ivoire",82,476,-394,2000
"ken","afken","Kenya",629,14627,-13998,2000
"swz","afswz","Eswatini",326,885,-559,2000
"tun","aftun","Tunisia",77110,66944,10166,2000
"zaf","afzaf","South Africa",435658,8298757,-7863099,2000
"are","asare","United Arab Emirates",253283,17234,236049,2000
"chn","aschn","China",210167488,3988114,206179374,2000
"cyp","ascyp","Cyprus",53897,4362,49535,2000
"hkg","ashkg","Hong Kong",2128913,3074133,-945220,2000
"idn","asidn","Indonesia",32027,914103,-882076,2000
"ind","asind","India",2731260,913713,1817547,2000
"isr","asisr","Israel",75,210102,-210027,2000
"jpn","asjpn","Japan",49209778,118797152,-69587374,2000
"kaz","askaz","Kazakhstan",396578,189089,207489,2000
"kor","askor","South Korea",802326,33449884,-32647558,2000
"lbn","aslbn","Lebanon",9947,9817,130.000000000002,2000
"mys","asmys","Malaysia",321087,6310960,-5989873,2000
"sau","assau","Saudi Arabia",38892,219181,-180289,2000
"sgp","assgp","Singapore",16435392,15020985,1414407,2000
"tha","astha","Thailand",29618,18979564,-18949946,2000
"tur","astur","Turkey",23397,732613,-709216,2000
"twn","astwn","Chinese Taipei",3412160,18637972,-15225812,2000
"aut","euaut","Austria",16971917,11493633,5478284,2000
"bel","eubel","Belgium",4357270,8680859,-4323589,2000
"blr","eublr","Belarus",7800,280909,-273109,2000
"che","euche","Switzerland",329518,1408878,-1079360,2000
"cze","eucze","Czechia",113359,1317028,-1203669,2000
"deu","eudeu","Germany",5015487,27080808,-22065321,2000
"dnk","eudnk","Denmark",30812,81245,-50433,2000
"esp","euesp","Spain",675237,2620949,-1945712,2000
"est","euest","Estonia",6636088,1028749,5607339,2000
"fin","eufin","Finland",35,2997369,-2997334,2000
"fra","eufra","France",68132848,26241197,41891651,2000
"gbr","eugbr","United Kingdom",17040193,15320083,1720110,2000
"grc","eugrc","Greece",6000,99158,-93158,2000
"hun","euhun","Hungary",10132,2494084,-2483952,2000
"irl","euirl","Ireland",965576,1027195,-61619,2000
"ita","euita","Italy",444217,9432482,-8988265,2000
"lva","eulva","Latvia",2942,22958990,-22956048,2000
"nld","eunld","Netherlands",833644,21054427,-20220783,2000
"nor","eunor","Norway",24241017,283396,23957621,2000
"rus","eurus","Russia",25496997,1564123,23932874,2000
"svn","eusvn","Slovenia",391,70962,-70571,2000
"swe","euswe","Sweden",35897,475040,-439143,2000
"ukr","euukr","Ukraine",12652,47761,-35109,2000
"bhs","nabhs","Bahamas",54,8808,-8754,2000
"can","nacan","Canada",561357,6347160,-5785803,2000
"gtm","nagtm","Guatemala",71,10771,-10700,2000
"mex","namex","Mexico",87572,1768039,-1680467,2000
"tto","natto","Trinidad and Tobago",152,9761,-9609,2000
"usa","nausa","United States",46165721,97876427,-51710706,2000
"vgb","navgb","British Virgin Islands",2328,15439,-13111,2000
"aus","ocaus","Australia",216352,364643,-148291,2000
"nzl","ocnzl","New Zealand",9416,90383,-80967,2000
"arg","saarg","Argentina",412153,1155125,-742972,2000
"bra","sabra","Brazil",573,6471229,-6470656,2000
"col","sacol","Colombia",615,98829,-98214,2000
"guy","saguy","Guyana",34000,5748,28252,2000
"eth","afeth","Ethiopia",1000,5986,-4986,2001
"ken","afken","Kenya",85,608,-523,2001
"mar","afmar","Morocco",11655,249719,-238064,2001
"mrt","afmrt","Mauritania",59,683,-624,2001
"nga","afnga","Nigeria",497,101080,-100583,2001
"sen","afsen","Senegal",72,21828,-21756,2001
"zaf","afzaf","South Africa",195368,4690309,-4494941,2001
"zwe","afzwe","Zimbabwe",140,16397,-16257,2001
"chn","aschn","China",241619363,3940420,237678943,2001
"cyp","ascyp","Cyprus",48511,36087,12424,2001
"hkg","ashkg","Hong Kong",1545195,4703222,-3158027,2001
"idn","asidn","Indonesia",9731,751835,-742104,2001
"ind","asind","India",3898674,1843990,2054684,2001
"isr","asisr","Israel",24420,173184,-148764,2001
"jor","asjor","Jordan",15362,11072,4290,2001
"jpn","asjpn","Japan",39186132,98731410,-59545278,2001
"kaz","askaz","Kazakhstan",1991703,938271,1053432,2001
"kgz","askgz","Kyrgyzstan",490976,40,490936,2001
"kor","askor","South Korea",1425079,32762222,-31337143,2001
"lbn","aslbn","Lebanon",13263,17168,-3905,2001
"lka","aslka","Sri Lanka",63,62828,-62765,2001
"mys","asmys","Malaysia",180135,4680229,-4500094,2001
"sau","assau","Saudi Arabia",1514671,169240,1345431,2001
"sgp","assgp","Singapore",15303796,12070339,3233457,2001
"tha","astha","Thailand",10848,16615304,-16604456,2001
"tur","astur","Turkey",2753,687333,-684580,2001
"twn","astwn","Chinese Taipei",1928243,16193450,-14265207,2001
"aut","euaut","Austria",24140453,12135421,12005032,2001
"bel","eubel","Belgium",6672213,8490286,-1818073,2001
"blr","eublr","Belarus",95286,309239,-213953,2001
"che","euche","Switzerland",476701,1396351,-919650,2001
"cze","eucze","Czechia",125989,1484501,-1358512,2001
"deu","eudeu","Germany",5697073,27755736,-22058663,2001
"dnk","eudnk","Denmark",32407,191708,-159301,2001
"esp","euesp","Spain",421543,4152250,-3730707,2001
"est","euest","Estonia",5130164,3798053,1332111,2001
"fin","eufin","Finland",28904,2219540,-2190636,2001
"fra","eufra","France",57436572,54955028,2481544,2001
"gbr","eugbr","United Kingdom",16492527,17304365,-811838,2001
"grc","eugrc","Greece",303,119997,-119694,2001
"hrv","euhrv","Croatia",14,17107,-17093,2001
"hun","euhun","Hungary",131878,2939916,-2808038,2001
"irl","euirl","Ireland",1520362,789895,730467,2001
"ita","euita","Italy",794168,8757339,-7963171,2001
"ltu","eultu","Lithuania",18225,402271,-384046,2001
"nld","eunld","Netherlands",573860,18449619,-17875759,2001
"nor","eunor","Norway",25235368,82947,25152421,2001
"pol","eupol","Poland",10294,380062,-369768,2001
"prt","euprt","Portugal",671,176317,-175646,2001
"rou","eurou","Romania",13436,74520,-61084,2001
"rus","eurus","Russia",8702777,1290357,7412420,2001
"svk","eusvk","Slovakia",1228,275620,-274392,2001
"swe","euswe","Sweden",50442,826381,-775939,2001
"ukr","euukr","Ukraine",37809,51351,-13542,2001
"can","nacan","Canada",305547,7558040,-7252493,2001
"cri","nacri","Costa Rica",3583,7135,-3552,2001
"mex","namex","Mexico",51322,3051881,-3000559,2001
"usa","nausa","United States",33346460,106164724,-72818264,2001
"aus","ocaus","Australia",112975,426939,-313964,2001
"nzl","ocnzl","New Zealand",15177,50059,-34882,2001
"arg","saarg","Argentina",421498,464513,-43015,2001
"bra","sabra","Brazil",42510,7948087,-7905577,2001
"col","sacol","Colombia",229,166147,-165918,2001
"ken","afken","Kenya",3447,3351,96,2002
"nga","afnga","Nigeria",10059,989618,-979559,2002
"uga","afuga","Uganda",75000,22297,52703,2002
"zaf","afzaf","South Africa",193490,6024947,-5831457,2002
"zmb","afzmb","Zambia",44,7821,-7777,2002
"are","asare","United Arab Emirates",11028,64639,-53611,2002
"chn","aschn","China",178448010,5555939,172892071,2002
"cyp","ascyp","Cyprus",13164,6234,6930,2002
"hkg","ashkg","Hong Kong",785696,4132604,-3346908,2002
"idn","asidn","Indonesia",23853,1031403,-1007550,2002
"ind","asind","India",2739988,1936245,803743,2002
"isr","asisr","Israel",807025,336342,470683,2002
"jpn","asjpn","Japan",47960607,87364736,-39404129,2002
"kaz","askaz","Kazakhstan",825670,657310,168360,2002
"kor","askor","South Korea",2261612,37418313,-35156701,2002
"lbn","aslbn","Lebanon",26658,7373,19285,2002
"lka","aslka","Sri Lanka",63,14949,-14886,2002
"mys","asmys","Malaysia",160210,5072832,-4912622,2002
"phl","asphl","Philippines",23859,173444,-149585,2002
"sau","assau","Saudi Arabia",165681,137528,28153,2002
"sgp","assgp","Singapore",15427451,12770793,2656658,2002
"tha","astha","Thailand",66814,17925541,-17858727,2002
"tur","astur","Turkey",3336,929566,-926230,2002
"twn","astwn","Chinese Taipei",1410278,18554172,-17143894,2002
"aut","euaut","Austria",23599543,10385412,13214131,2002
"bel","eubel","Belgium",4246008,4568768,-322760,2002
"bgr","eubgr","Bulgaria",2777,21803,-19026,2002
"che","euche","Switzerland",886287,846236,40051.0000000001,2002
"cze","eucze","Czechia",48197,2640906,-2592709,2002
"deu","eudeu","Germany",5341922,28554589,-23212667,2002
"dnk","eudnk","Denmark",23361,160348,-136987,2002
"esp","euesp","Spain",299092,3541196,-3242104,2002
"est","euest","Estonia",7682908,611282,7071626,2002
"fin","eufin","Finland",21615,2847208,-2825593,2002
"fra","eufra","France",53794995,21266746,32528249,2002
"gbr","eugbr","United Kingdom",19304922,18560325,744597,2002
"hun","euhun","Hungary",903,3954375,-3953472,2002
"irl","euirl","Ireland",1267051,980512,286539,2002
"ita","euita","Italy",937343,7270303,-6332960,2002
"ltu","eultu","Lithuania",71914,514040,-442126,2002
"nld","eunld","Netherlands",680526,12975284,-12294758,2002
"nor","eunor","Norway",10307537,131732,10175805,2002
"pol","eupol","Poland",16480,423351,-406871,2002
"prt","euprt","Portugal",560,188722,-188162,2002
"rus","eurus","Russia",12430287,1941165,10489122,2002
"svk","eusvk","Slovakia",1173,173335,-172162,2002
"svn","eusvn","Slovenia",494,83591,-83097,2002
"swe","euswe","Sweden",16311,1168423,-1152112,2002
"ukr","euukr","Ukraine",98968,51858,47110,2002
"brb","nabrb","Barbados",498,174,324,2002
"can","nacan","Canada",189939,11398293,-11208354,2002
"cub","nacub","Cuba",5265,27601,-22336,2002
"mex","namex","Mexico",33614,3365416,-3331802,2002
"nic","nanic","Nicaragua",1558,146017,-144459,2002
"usa","nausa","United States",36498912,81691741,-45192829,2002
"aus","ocaus","Australia",249019,280495,-31476,2002
